FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF_XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6789335241917103,0.19418775173428324,7287.679708775266,3224.5493632679554,62.62736368733691,12.041699709803058,0.8697939609150837,4629.797020758328,56.258925578045385,1.0
RFE_RF,RF,74,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7051293707186947,0.18008107649534116,6884.703951506068,3440.371016536674,59.66526474542991,12.829126979608855,0.8664912621877111,4747.232623867945,58.92011683465509,2.0
RF,XGB,70,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.614923810571715,0.2519448590982216,8619.632530404748,3861.1919530269447,64.4863270429034,11.988941971770068,0.8573836501674226,5071.076243519525,63.69940057654687,3.0
RFE_RF,RF,70,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6989890407501951,0.19109318174843085,6960.952139822419,3430.491300917841,59.96397797467374,12.885448848566076,0.8557157667650389,5130.38195362021,61.19015017255232,4.0
XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7010975622775272,0.1718831307842124,7016.593576579811,3280.1098333514337,59.7432929156878,12.185144126232723,0.8514523312718691,5281.978923186263,60.95459677840418,5.0
RF_XGB,RF,111,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6931561664056685,0.18304790108667052,7148.78966063166,3487.782279085695,60.459483346599846,12.751548495789287,0.8504776997114867,5316.634353351475,60.633544743391646,6.0
XGB,RF,185,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.7037868602882048,0.17141333595488553,6894.881865149737,3219.4854517271074,59.17625758766509,12.256142248922865,0.8504214425821905,5318.63471440571,60.74734584525959,7.0
RF,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.6733914885151263,0.191810075436727,7477.143166385567,3392.4221873739434,62.57765124599903,12.13832755669908,0.8499883062618845,5334.035945096918,62.119839200355784,8.0
XGB,RF,130,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.695022656113078,0.19515124698414224,6971.606199038882,3323.451655890509,59.539102236226014,11.99408112505431,0.8468292325510465,5446.364606329403,61.27988963419589,9.0
RF_XGB,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6430120696815389,0.2087099835032241,8005.773155612236,3155.218799631753,66.94972911824347,12.005101998257672,0.8457570385233316,5484.489110769262,62.382031562398446,10.0
RF,RF,103,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6950809815904233,0.1653999429526683,7135.6491548684735,3340.390522388323,60.43960085765135,12.150435587902685,0.8457497074092957,5484.74978661933,62.298591376282026,11.0
RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6320279158359565,0.17874269757018912,8353.676081014954,3691.9756448019575,67.72869639884848,14.103098837415828,0.8427520311947426,5591.339561601153,62.00032961947656,12.0
RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6697820858385719,0.17001467676959744,7709.802748222351,4027.0021028270976,64.85229979035188,13.932481241879765,0.835499737429841,5849.212762432555,63.209499726097036,13.0
RF_XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6802180610140812,0.16361281573381065,7514.303017346572,3601.572358762932,63.939002437429465,12.980875530077526,0.8342254142726553,5894.52446685184,61.99702957213773,14.0
RFE_RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6712530190145445,0.1673003804994497,7760.792461594918,3976.7493096452613,65.37151479257093,14.33351191579617,0.8335472902020689,5918.636841544829,63.885734842879295,15.0
RF,XGB,72,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.638650742143248,0.1716212241430543,8695.047602355071,4066.4165583485187,64.87958671965544,12.832196377665053,0.8335293034735589,5919.276404061696,67.02708041824218,16.0
RF_XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6336458885131284,0.15539325798989156,8511.529419665916,3191.3612171187065,69.79852250583174,13.836610187076325,0.8314003031017854,5994.978265877819,65.79357299159375,17.0
RFE_RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6100404653652465,0.19206441756927656,8993.888146784975,3467.83198923053,69.65044514833157,13.26596277947991,0.8277227603778948,6125.74237226213,64.64558648405078,18.0
XGB,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6327995608869286,0.2350660194728322,8182.4748010965795,3997.5077101919806,67.13718836426132,16.2333681645967,0.8130287255053971,6648.225041681492,68.05823378205079,19.0
RFE_RF,XGB,42,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6535784413682035,0.1936446440951723,8423.902952553617,4372.976501731235,62.97773824058284,13.073498152352768,0.8038534468490348,6974.474715555295,72.29767842755858,20.0
XGB,XGB,49,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6881872799540828,0.21695328717160917,7180.488397439139,3673.6973372037205,60.7069265108089,14.136216768308666,0.8004587522852742,7095.1814576399165,69.83381201025,21.0
XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6756974884434098,0.17787710779136945,7524.881732383804,3557.5442423831064,64.38824468036509,12.60704637315327,0.795656475042523,7265.938275277576,67.50426570323103,22.0
